City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,taiohae,36.9221,-5.543,14.33,83,100,2.85,ES,1730222668
1,puerto san carlos,-28.8667,153.5667,18.16,81,87,2.14,AU,1730222868
2,ouellah,-3.5,29.95,19.8,80,73,0.7,BI,1730222907
3,kataragama,-5.1989,-35.4608,29.01,52,82,8.38,BR,1730222922
4,seogwipo,-5.1989,-35.4608,29.01,52,82,8.38,BR,1730222922
5,'ohonua,-12.8944,-38.3272,29.01,61,20,6.69,BR,1730222932
6,kulia village,40.973,-117.7357,5.03,60,0,4.63,US,1730222994
7,pariang,-29.6842,-53.8069,27.61,57,20,2.57,BR,1730223042
8,do'stlik shahri,34.6667,138.95,16.97,92,100,6.41,JP,1730223046
9,yagry,-33.8679,151.2073,17.61,75,100,2.57,AU,1730222964
10,abraham's bay,38.7666,-120.5177,11.92,62,1,1.76,US,1730223102
11,laayoune plage,19.5933,-154.9731,20.96,99,20,3.6,US,1730222918
12,toga village,-37.2639,-56.973,23.88,60,30,1.68,AR,1730223190
13,shangri-la,52.9463,-66.9114,-0.46,58,75,29.5,CA,1730223201
14,ocean pointe,22.4333,41.7583,25.37,47,87,4.14,SA,1730223205
15,ahau,6.024,80.7911,25.78,89,86,4.13,LK,1730223211
16,devinuwara,23.9915,47.1627,25.01,30,60,4.02,SA,1730223252
17,chicxulub puerto,45.5549,-0.8967,16.38,86,0,3.58,FR,1730223271
18,anabar,-10.7148,25.4667,19.62,80,96,2.17,CD,1730223282
19,hayma',36.0307,-75.676,20.01,74,40,2.57,US,1730223354
20,savave village,-7.9589,-79.2392,19.07,77,20,6.17,PE,1730223374
21,vingt cinq,41.4017,128.1778,6.68,94,83,0.72,KP,1730223436
22,ayaguz,42.2506,-75.833,15.92,52,40,5.14,US,1730223467
23,isle of lewis,6.4965,2.6036,27.9,81,57,2.55,BJ,1730223481
24,mayen abun,6.4965,2.6036,27.9,81,57,2.55,BJ,1730223481
